donors,mean,donations,in_state_donors_count,oo_state_donors_count,in_state_donations_amt,oo_state_donations_amt,name,org_id,office,district,CO_ID,party,jurisdiction,race_id,declared_year
86,135.54848837209303,112,81.0,5.0,137.80456790123458,99.0,"FRANCONE, TINA",36924,Commissioner,COMMISSIONER DIST. 3,20175031898.0,Republican,JEFFERSON,2469,2017.0
373,85.17316353887412,442,334.0,39.0,74.45032934131748,177.0046153846154,"MITCHELL, VICTOR",36963,Governor,,20175031909.0,Republican,STATEWIDE,41,2017.0
37,187.78324324324322,44,32.0,5.0,190.40625,170.996,"WILLIAMS, HOLLY",36959,COMMISSIONER,Commissioner Dist. 1,20175031913.0,Republican,EL PASO,1029,2017.0
147,174.10761904761904,171,144.0,3.0,176.11680555555554,77.66666666666667,"JENSEN, CHRISTINE",36971,Colorado Senate,Senate District 20,20175031914.0,Republican,STATEWIDE,1070,2017.0
419,105.96577565632457,448,236.0,183.0,130.25423728813558,74.64295081967212,"HILL, STEVEN",37074,CU Regent,District 05,20175031958.0,Republican,STATEWIDE,2200,2017.0
792,73.40715909090909,1033,622.0,170.0,85.60445337620578,28.61111111111111,"SALAZAR, JOSEPH",37083,Attorney General,,20175031960.0,Democratic,STATEWIDE,545,2017.0
27,411.5285185185185,38,24.0,3.0,449.96958333333333,104.0,"GAITER, LEW",37070,Governor,,20175031962.0,Republican,STATEWIDE,41,2017.0
434,102.10907834101381,501,136.0,298.0,84.40323529411765,110.18959731543625,"NUTTING, MEGHAN",39413,Colorado House,House District 05,20175031964.0,Democratic,STATEWIDE,126,2018.0
434,102.10907834101381,501,136.0,298.0,84.40323529411765,110.18959731543625,"NUTTING, MEGHAN",37072,Colorado House,House District 05,20175031964.0,Democratic,STATEWIDE,2568,2017.0
118,361.0125423728814,133,117.0,1.0,359.8246153846154,500.0,"LEBSOCK, STEVE",37166,State Treasurer,,20175032007.0,Democratic,STATEWIDE,246,2017.0
51,98.98039215686275,53,34.0,17.0,92.88235294117646,111.17647058823529,"MATKOWSKY, ADAM",37175,Colorado Senate,Senate District 24,20175032016.0,Unaffiliated,STATEWIDE,787,2017.0
51,98.98039215686275,53,34.0,17.0,92.88235294117646,111.17647058823529,"MATKOWSKY, ADAM",39338,Colorado Senate,Senate District 24,20175032016.0,Unaffiliated,STATEWIDE,2314,2017.0
43,157.90697674418604,45,32.0,11.0,153.59375,170.45454545454547,"SARGENT, KITTY",37171,SCHOOL BOARD DIRECTOR,BOULDER VALLEY RE 2,20175032017.0,Non-Partisan,BOULDER,165,2017.0
26,59.38461538461539,27,25.0,1.0,57.76,100.0,"WILSON, BOB",36933,RTD DIRECTOR,RTD District L,20175032021.0,Non-Partisan,STATEWIDE,202,2017.0
1242,259.008019323671,1528,1176.0,66.0,255.27842687074784,325.46257575757573,"BRAUCHLER, GEORGE",37224,Governor,,20175032022.0,Republican,STATEWIDE,2027,2017.0
1242,259.008019323671,1528,1176.0,66.0,255.27842687074784,325.46257575757573,"BRAUCHLER, GEORGE",37274,Governor,,20175032022.0,Republican,STATEWIDE,41,2017.0
229,81.94764192139739,287,200.0,29.0,88.155,39.138275862068966,"ANDERSON, AUONTAI (TAY)",37191,SCHOOL BOARD DIRECTOR,DENVER COUNTY 1 DISTRICT 4,20175032023.0,Non-Partisan,DENVER,1026,2017.0
229,81.94764192139739,287,200.0,29.0,88.155,39.138275862068966,"ANDERSON, TAY",37180,SCHOOL BOARD DIRECTOR,DENVER COUNTY 1 DISTRICT 4,20175032023.0,Non-Partisan,DENVER,3125,2017.0
183,72.97901639344262,249,149.0,34.0,72.08161073825504,74.71428571428571,"BANUELOS, JULIE",37183,SCHOOL BOARD DIRECTOR,DENVER COUNTY 1 AT LARGE,20175032025.0,Non-Partisan,DENVER,206,2017.0
1202,141.37064891846921,2336,879.0,323.0,158.65733788395903,94.32730650154798,"PERLMUTTER, ED",37255,Governor,,20175032027.0,Democratic,STATEWIDE,41,2017.0
3928,217.18061354378818,5658,2193.0,1735.0,316.5646967624259,91.56142363112393,"KENNEDY, CARY",37272,Governor,,20175032028.0,Democratic,STATEWIDE,682,2017.0
3928,217.18061354378818,5658,2193.0,1735.0,316.5646967624259,91.56142363112393,"KENNEDY, CARY",37273,Governor,,20175032028.0,Democratic,STATEWIDE,41,2017.0
86,152.42825581395348,142,67.0,19.0,178.34074626865672,61.05263157894737,"MULLICA, KYLE",37262,Colorado House,House District 34,20175032036.0,Democratic,STATEWIDE,987,2017.0
135,269.6125925925926,410,122.0,13.0,261.80139344262295,342.91769230769233,"EVERETT, JUSTIN",37256,State Treasurer,,20175032041.0,Republican,STATEWIDE,246,2017.0
32,411.561875,36,25.0,7.0,242.96,1013.7114285714285,"HAMBY, CHARLES",37281,Sheriff,,20175032044.0,Republican,LA PLATA,1015,2017.0
661,166.1585930408472,837,162.0,499.0,203.28086419753086,154.10687374749503,"NEUMANN, ZACH",37311,Colorado Senate,Senate District 32,20175032053.0,Democratic,STATEWIDE,1458,2017.0
588,613.5428231292517,644,429.0,159.0,614.426993006993,611.1572327044025,"ROBINSON, DOUG",37289,Governor,,20175032055.0,Republican,STATEWIDE,41,2017.0
66,360.9013636363636,71,43.0,23.0,414.05790697674416,261.5217391304348,"LARSON, COLIN",37302,Colorado House,House District 22,20175032057.0,Republican,STATEWIDE,754,2017.0
133,295.4814285714286,140,117.0,16.0,302.1370085470085,246.8125,"LUNDEEN, PAUL",37304,Colorado Senate,Senate District 09,20175032059.0,Republican,STATEWIDE,778,2017.0
